Social Behaviour,ConflictResolution,MoralAlignment,Intelligence,Ambition,Loyalty,Leadership,RiskTaker,SenseOfHumor,Curiosity,Adaptibility,Cunning,Patience,House
['Extrovert'],['Confrontational'],['Idealist'],6.5,7.59,9.56,9.23,9.14,9.99,5.87,7.43,4.34,4.93,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.8,9.19,2.18,9.79,7.31,5.27,7.51,9.3,9.48,6.14,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.93,6.15,5.81,4.65,5.11,6.16,8.12,7.44,5.49,7.42,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.28,2.69,8.35,1.94,0.82,6.37,6.52,6.5,3.74,9.22,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.36,9.74,8.09,8.68,9.0,9.2,6.42,7.83,5.9,4.79,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.71,9.27,8.05,7.22,7.42,4.57,9.0,8.9,9.22,6.53,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.2,7.94,6.91,5.71,5.27,5.2,8.64,7.19,5.55,7.92,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],2.89,5.01,8.59,0.59,2.38,6.45,5.83,5.71,3.26,9.44,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.34,7.82,7.28,5.71,7.85,7.7,5.53,8.29,4.24,4.98,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.62,9.41,9.02,9.24,9.93,5.17,6.97,8.23,9.99,6.15,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.2,5.81,5.59,5.76,4.46,5.7,9.33,8.6,6.31,7.28,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.82,1.31,9.11,0.49,4.6,7.06,5.16,8.11,2.99,9.49,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.57,7.66,8.38,6.88,8.67,9.59,6.72,7.54,4.99,5.6,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.16,9.47,3.29,8.17,9.3,5.46,6.25,9.29,8.79,6.83,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.4,3.94,5.59,4.82,4.2,6.52,8.56,8.92,6.92,7.04,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],1.13,0.42,9.58,3.34,2.37,6.15,4.37,6.21,2.84,9.15,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.78,9.43,8.52,6.75,9.36,9.45,7.49,7.88,5.96,5.99,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.63,9.7,2.24,7.04,7.2,4.99,8.31,9.11,8.09,6.97,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.73,5.13,9.57,5.29,5.69,4.07,9.57,8.12,6.45,7.99,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],2.98,1.4,8.41,1.61,3.41,8.8,5.07,8.28,3.14,9.74,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.11,9.1,6.03,8.99,9.13,9.02,5.92,8.98,4.85,5.65,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.35,9.29,9.71,9.86,7.54,5.46,8.12,9.83,8.26,6.41,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.78,6.52,9.27,5.69,5.89,5.46,8.53,7.35,5.64,7.73,Ravenclaw
['Ambivert'],['Avoidant'],['Realist'],4.67,6.74,8.65,5.97,3.43,6.16,6.31,5.38,3.62,9.96,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.8,8.68,6.5,7.45,9.91,8.53,7.04,6.56,5.37,5.44,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.77,9.58,2.74,9.37,8.98,4.69,6.61,8.55,8.02,7.72,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.1,4.12,5.26,5.83,4.91,5.52,8.43,8.85,6.2,7.32,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],0.6,1.49,8.49,2.05,3.2,8.93,5.7,8.63,2.23,9.5,Hufflepuff
['Ambivert'],['Confrontational'],['Idealist'],8.06,9.53,6.07,8.63,9.93,8.8,7.17,8.07,5.05,4.71,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.69,9.23,1.24,8.95,7.04,5.89,8.07,8.79,9.0,6.33,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.41,5.41,5.16,5.91,4.79,4.34,10.0,8.38,5.17,7.43,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.51,1.54,9.25,5.16,2.01,6.32,4.08,8.93,2.84,9.17,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.09,8.02,7.08,7.05,9.02,7.23,5.6,6.43,4.25,4.54,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.54,9.05,0.15,8.25,8.89,4.7,8.89,9.58,8.77,6.42,Slytherin
['Introvert'],['Avoidant'],['Opportunist'],8.45,5.02,8.93,4.12,4.28,4.03,9.6,8.3,6.77,7.74,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.56,6.85,9.61,2.56,4.03,7.7,5.78,6.21,2.26,9.14,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.2,8.03,7.9,6.47,7.85,8.03,6.6,8.23,5.9,5.47,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.83,9.2,8.99,8.38,9.38,5.64,6.49,9.66,9.21,7.41,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.13,6.49,6.22,5.12,3.05,7.0,8.46,8.56,5.71,7.11,Ravenclaw
['Extrovert'],['Mediator'],['Realist'],4.93,2.7,8.94,2.5,4.15,8.22,6.75,7.79,2.1,9.8,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.14,9.06,9.05,6.43,7.72,8.89,6.48,6.49,4.25,4.22,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.14,9.94,1.74,7.09,8.44,4.53,7.95,8.97,9.33,6.25,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.45,3.34,6.17,4.58,3.05,6.66,8.7,8.44,6.24,7.94,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.35,6.32,9.13,5.0,1.34,6.22,5.27,6.72,3.9,9.86,Hufflepuff
['Ambivert'],['Confrontational'],['Idealist'],9.34,7.16,8.39,5.96,9.73,8.17,5.82,7.08,5.4,4.7,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.82,9.94,0.26,7.21,9.41,5.72,6.34,8.47,9.61,7.06,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.97,6.94,8.53,4.33,4.4,6.8,9.35,7.12,6.35,8.0,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.23,0.09,8.49,4.1,3.64,8.75,5.7,7.46,2.98,9.11,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.36,8.63,9.01,8.02,8.2,9.67,5.29,7.58,5.98,5.05,Gryffindor
['Ambivert'],['Mediator'],['Realist'],5.79,9.17,1.04,7.4,7.77,3.43,7.72,8.85,9.38,6.17,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.75,3.96,9.09,4.11,4.49,5.31,8.99,8.96,6.59,7.83,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.25,3.02,9.74,2.74,4.01,8.83,5.97,6.3,3.16,9.79,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.6,7.79,8.55,7.68,9.59,9.43,7.98,7.74,4.5,5.02,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.27,9.71,4.41,8.16,7.35,5.54,8.34,9.24,8.24,7.9,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.11,4.99,9.85,5.29,5.03,7.98,9.52,7.03,5.54,7.59,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.17,2.29,8.8,0.53,4.36,8.35,5.01,8.58,2.38,9.57,Hufflepuff
['Extrovert'],['Mediator'],['Idealist'],7.63,9.43,7.66,9.29,9.74,7.5,6.3,6.17,4.12,4.4,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.43,9.9,2.76,9.36,8.03,5.31,7.19,9.02,8.53,6.8,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.2,5.52,8.31,5.78,4.09,7.2,8.85,7.61,6.64,7.69,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],3.43,5.16,9.3,4.79,2.88,7.16,4.3,6.86,3.46,9.49,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.33,9.86,8.18,9.48,7.59,8.91,6.07,8.79,5.03,4.5,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.41,9.81,1.32,9.21,8.89,3.37,6.04,8.44,9.72,6.88,Slytherin
['Ambivert'],['Avoidant'],['Opportunist'],8.9,6.47,5.76,5.75,4.7,6.26,9.97,8.54,6.26,7.02,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.66,5.35,9.52,4.71,1.17,8.49,5.76,7.99,3.55,9.97,Hufflepuff
['Extrovert'],['Confrontational'],['Opportunist'],6.81,8.17,8.2,8.22,8.99,7.07,6.01,7.13,5.43,4.81,Gryffindor
['Ambivert'],['Mediator'],['Idealist'],8.63,9.87,6.94,8.95,8.21,3.68,8.77,8.63,8.12,6.05,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.61,4.24,9.11,4.49,4.34,6.09,8.72,8.42,6.6,7.47,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.02,3.66,8.32,5.22,3.38,7.67,4.24,6.96,3.81,9.3,Hufflepuff
['Extrovert'],['Mediator'],['Idealist'],7.04,7.3,7.15,9.72,7.88,8.08,7.23,6.84,5.99,4.33,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.5,9.49,8.87,7.53,7.29,5.07,7.04,9.53,8.27,6.6,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.72,7.24,7.67,3.74,5.64,6.06,8.16,8.24,5.59,7.71,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],3.88,0.51,8.62,0.66,1.57,8.47,6.56,6.97,3.74,9.75,Hufflepuff
['Extrovert'],['Confrontational'],['Realist'],6.84,8.63,9.63,6.85,8.06,7.33,5.2,7.07,5.33,4.92,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.7,9.61,9.98,8.47,7.29,4.47,7.21,9.68,9.94,7.79,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.44,3.26,5.08,3.12,5.66,4.65,9.54,8.01,6.41,7.7,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],1.14,0.67,8.82,4.25,1.01,7.8,4.97,6.18,2.5,9.55,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.59,8.06,6.82,5.64,7.52,7.14,6.58,6.14,5.4,5.41,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.27,9.24,6.67,8.63,9.96,3.04,7.8,8.94,9.89,6.69,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.87,7.85,9.6,4.64,5.6,7.4,8.3,8.44,6.53,7.03,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],1.86,4.99,8.58,2.12,4.93,7.12,4.08,7.6,3.11,9.07,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.64,7.68,7.55,5.56,9.64,9.27,5.08,8.29,4.41,4.27,Gryffindor
['Extrovert'],['Mediator'],['Opportunist'],7.87,9.0,7.64,8.12,9.18,5.39,8.9,9.89,8.82,7.03,Slytherin
['Extrovert'],['Avoidant'],['Realist'],8.93,4.75,9.74,5.99,4.78,6.8,8.52,8.44,6.81,7.8,Ravenclaw
['Ambivert'],['Confrontational'],['Idealist'],4.5,0.23,8.21,4.77,2.99,6.97,5.79,8.81,2.96,9.82,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.83,9.32,9.95,9.21,8.02,7.64,7.99,6.31,4.26,4.77,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.7,9.99,1.94,7.98,7.14,4.85,8.84,9.66,8.11,7.4,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.53,4.93,6.16,3.47,4.77,4.12,9.73,7.85,6.73,7.98,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],4.06,3.1,8.73,2.28,0.07,8.76,5.9,8.38,3.8,9.86,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.94,7.63,8.38,5.96,7.71,7.46,6.1,8.31,5.85,4.47,Gryffindor
['Introvert'],['Mediator'],['Opportunist'],8.89,9.38,4.07,7.22,8.87,3.85,7.74,9.92,8.94,6.24,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.04,7.07,8.76,3.59,3.85,5.64,9.47,7.46,6.48,7.27,Ravenclaw
['Ambivert'],['Mediator'],['Opportunist'],1.82,5.89,9.4,1.0,0.49,8.46,6.34,5.42,2.44,9.48,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.89,7.92,9.74,6.73,7.81,8.07,7.28,7.61,5.08,5.01,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.55,9.17,1.62,9.18,8.46,5.86,8.27,8.31,9.95,7.02,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.25,3.31,5.9,5.36,3.7,5.23,8.24,8.99,5.96,7.56,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.39,3.92,8.37,0.1,4.78,6.95,6.84,5.45,2.75,9.63,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.12,7.22,6.24,8.07,8.61,7.84,6.39,7.64,4.71,5.73,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.53,9.46,2.25,9.55,9.68,3.33,6.27,9.92,8.31,7.99,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.68,4.66,5.38,3.03,4.9,4.75,8.04,8.44,5.24,7.56,Ravenclaw
['Ambivert'],['Avoidant'],['Idealist'],0.03,4.92,8.86,3.81,0.58,6.06,6.75,8.54,2.25,9.69,Hufflepuff
['Ambivert'],['Confrontational'],['Idealist'],7.29,8.35,9.08,7.56,9.13,8.73,6.92,7.97,4.26,5.6,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.18,9.74,5.73,7.98,7.16,4.01,8.6,9.99,8.15,7.62,Slytherin
['Introvert'],['Avoidant'],['Opportunist'],8.67,6.33,7.56,5.66,5.83,5.36,8.12,7.24,5.56,7.99,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.47,5.19,8.32,5.34,1.0,6.57,4.53,7.81,3.87,9.23,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.95,9.63,9.04,9.4,8.61,9.48,7.98,7.03,4.95,5.2,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.18,9.12,3.1,7.7,8.54,3.92,6.44,8.2,9.17,6.02,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.05,3.12,8.69,4.92,5.16,6.53,8.49,7.91,6.94,7.45,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.48,0.3,9.41,0.05,4.98,7.88,4.57,7.85,2.22,9.03,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.35,7.64,6.98,8.92,8.08,7.45,5.69,7.02,5.19,5.8,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.79,9.81,9.07,7.65,8.96,4.43,8.98,8.02,8.03,7.69,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.9,6.22,5.66,4.59,4.42,4.87,9.86,7.74,6.12,7.74,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.46,3.14,8.92,4.66,2.18,6.6,4.59,8.76,3.12,9.17,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.66,7.54,7.07,9.12,9.34,8.65,5.66,7.73,5.35,5.55,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.58,9.74,8.87,7.49,8.89,3.65,6.96,9.99,9.56,6.52,Slytherin
['Introvert'],['Avoidant'],['Idealist'],9.31,7.47,6.96,5.19,3.73,5.07,9.13,8.44,5.08,7.72,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.21,6.5,9.59,2.29,1.36,7.16,6.31,8.72,2.74,9.45,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.82,9.53,9.71,5.99,9.12,9.25,7.98,7.58,5.44,5.71,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.35,9.62,7.84,7.32,9.35,5.45,7.86,8.03,8.26,6.93,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.93,7.22,9.0,5.84,4.27,8.0,8.44,7.15,6.91,7.75,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],2.57,6.1,9.24,4.94,1.46,7.5,4.81,5.29,3.08,9.89,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.17,9.82,7.79,9.14,7.87,8.61,6.34,6.02,5.06,5.42,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.6,9.82,4.52,8.64,8.63,5.99,7.33,9.71,8.4,6.47,Slytherin
['Introvert'],['Mediator'],['Realist'],9.39,6.05,7.79,3.43,3.02,6.6,8.06,8.86,6.58,7.24,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.25,0.03,9.22,4.52,2.2,8.82,6.11,6.01,3.69,9.46,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.22,8.98,7.77,8.78,9.09,7.9,7.68,7.14,4.77,5.54,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.58,9.23,9.52,9.76,7.58,5.76,6.6,8.26,8.21,7.86,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.29,7.85,8.39,4.62,5.09,6.22,9.92,7.89,5.87,7.22,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],3.51,2.28,9.64,1.87,4.86,7.9,4.87,5.3,2.7,9.47,Hufflepuff
['Ambivert'],['Confrontational'],['Idealist'],5.89,8.75,6.32,9.62,7.09,7.71,7.95,6.9,4.1,5.21,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.35,9.68,8.67,7.35,7.93,4.12,7.72,8.74,8.74,7.77,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.31,5.65,6.72,3.48,4.89,7.17,8.46,8.33,5.9,7.03,Ravenclaw
